VoyageToMoonResult [timestamp=2014-09-11T17:51:00.000Z, speed=10837.0, surface=85224.8485891954, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8276533,43, e= 1,220, omega=130,967, i=168,742, OMEGA=163,593, Tp=2014-09-16T10:57:26.251Z, period=67553,921), trueAnomaly=6.282847877215836}, velocity=2444.5218361494217, minTimestamp=2014-09-16T10:57:26.000Z, duration=4 d 17 h 6 m 26 s, distance=1822224.8485891954]
VoyageToMoonResult [timestamp=2014-09-11T17:52:00.000Z, speed=10837.0, surface=82189.50051032077, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8276335,68, e= 1,220, omega=131,012, i=168,729, OMEGA=163,625, Tp=2014-09-16T10:57:11.987Z, period=67551,500), trueAnomaly=1.720331154279508E-5}, velocity=2446.361165409158, minTimestamp=2014-09-16T10:57:12.000Z, duration=4 d 17 h 5 m 12 s, distance=1819189.5005103208]
VoyageToMoonResult [timestamp=2014-09-12T00:17:00.000Z, speed=10838.0, surface=194122.3999336399, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8045947,42, e= 1,240, omega=130,979, i=169,415, OMEGA=170,100, Tp=2014-09-16T09:24:45.623Z, period=64750,576), trueAnomaly=4.656192216088583E-4}, velocity=2385.1861135960153, minTimestamp=2014-09-16T09:24:46.000Z, duration=4 d 9 h 7 m 46 s, distance=1931122.39993364]
VoyageToMoonResult [timestamp=2014-09-12T00:18:00.000Z, speed=10838.0, surface=187243.3462294049, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8045463,12, e= 1,239, omega=131,071, i=169,386, OMEGA=170,151, Tp=2014-09-16T09:24:30.754Z, period=64744,730), trueAnomaly=3.052590342282383E-4}, velocity=2388.997390607322, minTimestamp=2014-09-16T09:24:31.000Z, duration=4 d 9 h 6 m 31 s, distance=1924243.346229405]
VoyageToMoonResult [timestamp=2014-09-12T00:19:00.000Z, speed=10838.0, surface=180366.47186363535, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8044978,87, e= 1,238, omega=131,163, i=169,357, OMEGA=170,201, Tp=2014-09-16T09:24:15.893Z, period=64738,884), trueAnomaly=1.328026423248854E-4}, velocity=2392.8286094576847, minTimestamp=2014-09-16T09:24:16.000Z, duration=4 d 9 h 5 m 16 s, distance=1917366.4718636354]
VoyageToMoonResult [timestamp=2014-09-12T00:20:00.000Z, speed=10838.0, surface=173491.83540001535, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8044494,70, e= 1,237, omega=131,256, i=169,328, OMEGA=170,252, Tp=2014-09-16T09:24:01.041Z, period=64733,040), trueAnomaly=6.283133297840438}, velocity=2396.679908736303, minTimestamp=2014-09-16T09:24:01.000Z, duration=4 d 9 h 4 m 1 s, distance=1910491.8354000153]
VoyageToMoonResult [timestamp=2014-09-12T00:21:00.000Z, speed=10838.0, surface=166619.49712065165, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8044010,63, e= 1,237, omega=131,348, i=169,298, OMEGA=170,302, Tp=2014-09-16T09:23:46.197Z, period=64727,197), trueAnomaly=6.282935865508601}, velocity=2400.5514273927315, minTimestamp=2014-09-16T09:23:46.000Z, duration=4 d 9 h 2 m 46 s, distance=1903619.4971206516]
VoyageToMoonResult [timestamp=2014-09-12T00:22:00.000Z, speed=10838.0, surface=159749.51704579568, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8043526,68, e= 1,236, omega=131,441, i=169,269, OMEGA=170,353, Tp=2014-09-16T09:23:31.362Z, period=64721,356), trueAnomaly=6.282725543152942}, velocity=2404.4433058426216, minTimestamp=2014-09-16T09:23:31.000Z, duration=4 d 9 h 1 m 31 s, distance=1896749.5170457957]
VoyageToMoonResult [timestamp=2014-09-12T00:23:00.000Z, speed=10838.0, surface=152881.76472388348, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8042993,12, e= 1,235, omega=131,533, i=169,239, OMEGA=170,403, Tp=2014-09-16T09:23:16.535Z, period=64714,916), trueAnomaly=5.917754589224398E-4}, velocity=2408.3565775486522, minTimestamp=2014-09-16T09:23:17.000Z, duration=4 d 9 h 17 s, distance=1889881.7647238835]
VoyageToMoonResult [timestamp=2014-09-12T00:24:00.000Z, speed=10838.0, surface=146016.3704994016, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8042508,89, e= 1,234, omega=131,626, i=169,209, OMEGA=170,454, Tp=2014-09-16T09:23:01.717Z, period=64709,072), trueAnomaly=3.6157952222904294E-4}, velocity=2412.289788960112, minTimestamp=2014-09-16T09:23:02.000Z, duration=4 d 8 h 59 m 2 s, distance=1883016.3704994016]
