VoyageToMoonResult [timestamp=2014-09-12T06:45:00.000Z, speed=10836.0, surface=158689.2882053326, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8009715.97, e= 1.237, omega=137.573, i=19.609, OMEGA=190.931, Tp=2014-09-16T09:50:04.945Z, period=64313.704), trueAnomaly=6.893724415448155E-5}, velocity=2405.579746444906, minTimestamp=2014-09-16T09:50:05.000Z, duration=4 d 3 h 5 m 5 s, distance=1895689.2882053326]
VoyageToMoonResult [timestamp=2014-09-12T06:48:00.000Z, speed=10836.0, surface=184195.6299024704, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8007726.45, e= 1.240, omega=137.341, i=19.499, OMEGA=190.993, Tp=2014-09-16T09:50:19.729Z, period=64289.743), trueAnomaly=3.365673222408514E-4}, velocity=2391.2900599210157, minTimestamp=2014-09-16T09:50:20.000Z, duration=4 d 3 h 2 m 20 s, distance=1921195.6299024704]
VoyageToMoonResult [timestamp=2014-09-12T08:36:00.000Z, speed=10841.0, surface=185004.8534174026, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7343967.89, e= 1.262, omega=133.146, i=169.301, OMEGA=181.245, Tp=2014-09-16T07:05:16.133Z, period=56464.307), trueAnomaly=6.283018802519036}, velocity=2402.389573937385, minTimestamp=2014-09-16T07:05:16.000Z, duration=3 d 22 h 29 m 16 s, distance=1922004.8534174026]
VoyageToMoonResult [timestamp=2014-09-12T08:39:00.000Z, speed=10841.0, surface=147005.48185210442, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7341505.52, e= 1.257, omega=133.606, i=169.127, OMEGA=181.436, Tp=2014-09-16T07:04:37.765Z, period=56435.911), trueAnomaly=3.0153001351457357E-4}, velocity=2423.765089029312, minTimestamp=2014-09-16T07:04:38.000Z, duration=3 d 22 h 25 m 38 s, distance=1884005.4818521044]
VoyageToMoonResult [timestamp=2014-09-12T08:42:00.000Z, speed=10841.0, surface=109241.8577610089, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7339050.61, e= 1.252, omega=134.069, i=168.949, OMEGA=181.626, Tp=2014-09-16T07:03:59.617Z, period=56407.607), trueAnomaly=5.067039460872267E-4}, velocity=2445.6814119535497, minTimestamp=2014-09-16T07:04:00.000Z, duration=3 d 22 h 22 m, distance=1846241.857761009]
VoyageToMoonResult [timestamp=2014-09-12T09:21:00.000Z, speed=10837.0, surface=80729.0098350565, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7766086.76, e= 1.234, omega=138.521, i=20.196, OMEGA=192.764, Tp=2014-09-16T09:11:18.592Z, period=61401.815), trueAnomaly=5.5091523210274E-4}, velocity=2455.188552146921, minTimestamp=2014-09-16T09:11:19.000Z, duration=3 d 23 h 50 m 19 s, distance=1817729.0098350565]
VoyageToMoonResult [timestamp=2014-09-12T09:24:00.000Z, speed=10837.0, surface=111642.50092831557, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7763784.00, e= 1.238, omega=138.232, i=20.053, OMEGA=192.830, Tp=2014-09-16T09:11:45.029Z, period=61374.507), trueAnomaly=6.283146405198905}, velocity=2436.7802426328803, minTimestamp=2014-09-16T09:11:45.000Z, duration=3 d 23 h 47 m 45 s, distance=1848642.5009283156]
VoyageToMoonResult [timestamp=2014-09-12T09:27:00.000Z, speed=10837.0, surface=142837.53930757334, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7761430.05, e= 1.242, omega=137.944, i=19.911, OMEGA=192.896, Tp=2014-09-16T09:12:11.749Z, period=61346.596), trueAnomaly=3.220432731280843E-4}, velocity=2418.684789475441, minTimestamp=2014-09-16T09:12:12.000Z, duration=3 d 23 h 45 m 12 s, distance=1879837.5393075733]
VoyageToMoonResult [timestamp=2014-09-12T09:30:00.000Z, speed=10837.0, surface=174313.09246387566, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7759086.73, e= 1.246, omega=137.657, i=19.772, OMEGA=192.961, Tp=2014-09-16T09:12:38.749Z, period=61318.816), trueAnomaly=3.1410676649097364E-4}, velocity=2400.8946022964833, minTimestamp=2014-09-16T09:12:39.000Z, duration=3 d 23 h 42 m 39 s, distance=1911313.0924638757]
VoyageToMoonResult [timestamp=2014-09-12T10:18:00.000Z, speed=10842.0, surface=186265.04112738743, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7131156.18, e= 1.270, omega=133.510, i=169.223, OMEGA=183.778, Tp=2014-09-16T06:32:33.676Z, period=54027.861), trueAnomaly=4.0479297004206817E-4}, velocity=2405.8390768146637, minTimestamp=2014-09-16T06:32:34.000Z, duration=3 d 20 h 14 m 34 s, distance=1923265.0411273874]
